# ----------------------------------------
# Corp Site Adult Learner
# Copy of CET Campaign Results-Free form 1
# 20241201-20241231
# ----------------------------------------

Segment,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,All Users,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Page path and screen class,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits,Total users,New users,Active users,Returning users,Views,Sessions,Views per session,Average session duration,Bounce rate,Exits
/adult-learner/course-detail/NYP-EGSP09/specialist-diploma-in-cloud-data-centre-technology-and-management,89,36,87,23,100,95,1.0526315789473684,103.22838303157896,0.14736842105263157,51,89,36,87,23,100,95,1.0526315789473684,103.22838303157896,0.14736842105263157,51
/adult-learner/course-detail/NYP-EGSP21/specialist-diploma-in-carbon-management-for-sustainability-reporting,89,22,86,21,113,116,0.9741379310344828,40.029180637931034,0.27586206896551724,48,89,22,86,21,113,116,0.9741379310344828,40.029180637931034,0.27586206896551724,48
/adult-learner/course-detail/NYP-DXSP06/specialist-diploma-in-digital-content-creation-for-e-commerce,87,25,85,27,103,97,1.0618556701030928,103.99481088659793,0.12371134020618557,48,87,25,85,27,103,97,1.0618556701030928,103.99481088659793,0.12371134020618557,48
/adult-learner/course-detail/NYP-HSAP11/advanced-diploma-in-nursing-management,87,43,86,22,109,95,1.1473684210526316,76.82187381052631,0.1368421052631579,40,87,43,86,22,109,95,1.1473684210526316,76.82187381052631,0.1368421052631579,40
/adult-learner/course-detail/NYP-DXEP09/work-study-post-diploma-specialist-diploma-in-spatial-design,86,20,84,16,94,92,1.0217391304347827,46.30342842391304,0.14130434782608695,41,86,20,84,16,94,92,1.0217391304347827,46.30342842391304,0.14130434782608695,41
/adult-learner/course-detail/NYP-ITEP02/work-study-post-diploma-specialist-diploma-in-agile-solutioning-and-devsecops,86,4,85,28,109,96,1.1354166666666667,115.99650402083334,0.0625,30,86,4,85,28,109,96,1.1354166666666667,115.99650402083334,0.0625,30
/adult-learner/course-detail/NYP-WSCC11_804/wsq-certificate-in-food-services-pastry-and-baking,86,70,85,11,108,101,1.0693069306930694,116.98958611881189,0.25742574257425743,70,86,70,85,11,108,101,1.0693069306930694,116.98958611881189,0.25742574257425743,70
/adult-learner/course-detail/NYP-DXEP07/work-study-post-diploma-programme-specialist-diploma-in-user-experience-design-and-management,85,5,85,26,100,94,1.0638297872340425,51.33815874468085,0.05319148936170213,33,85,5,85,26,100,94,1.0638297872340425,51.33815874468085,0.05319148936170213,33
/adult-learner/course-detail/NYP-HSAF41/advanced-diploma-in-nursing-gerontology-adgr1,84,41,84,23,117,105,1.1142857142857143,93.03930078095239,0.2,54,84,41,84,23,117,105,1.1142857142857143,93.03930078095239,0.2,54
/adult-learner/course-detail/NYP-CB231022/international-trade-and-freight-management,83,18,82,17,95,92,1.0326086956521738,47.42091694565217,0.10869565217391304,43,83,18,82,17,95,92,1.0326086956521738,47.42091694565217,0.10869565217391304,43
/adult-learner/course-detail/NYP-BMSP18/specialist-diploma-in-sport-management-and-marketing,82,32,82,16,101,93,1.086021505376344,98.15175703225806,0.15053763440860216,43,82,32,82,16,101,93,1.086021505376344,98.15175703225806,0.15053763440860216,43
/adult-learner/course-detail/NYP-ASSP01/specialist-diploma-in-environmental-management-and-applied-water-technology,81,21,81,23,99,92,1.076086956521739,45.43944865217391,0.09782608695652174,29,81,21,81,23,99,92,1.076086956521739,45.43944865217391,0.09782608695652174,29
/adult-learner/course-detail/NYP-HSAF26/advanced-diploma-in-nursing-neuroscience,81,16,80,18,90,89,1.0112359550561798,36.70736143820224,0.12359550561797752,32,81,16,80,18,90,89,1.0112359550561798,36.70736143820224,0.12359550561797752,32
/adult-learner/course-detail/NYP-HSAF32/advanced-diploma-in-nursing-community-health,81,29,81,41,123,107,1.1495327102803738,172.6306566915888,0.17757009345794392,70,81,29,81,41,123,107,1.1495327102803738,172.6306566915888,0.17757009345794392,70
/adult-learner/course-detail/NYP-BMLP01/work-study-certificate-leading-to-diploma-in-business-practice-hospitality-and-tourism-management,80,8,79,21,96,83,1.1566265060240963,48.493995542168676,0.03614457831325301,20,80,8,79,21,96,83,1.1566265060240963,48.493995542168676,0.03614457831325301,20
/adult-learner/course-detail/NYP-CI241002/mastering-power-apps-from-beginner-to-pro,80,27,79,12,94,89,1.0561797752808988,89.49241215730338,0.0898876404494382,44,80,27,79,12,94,89,1.0561797752808988,89.49241215730338,0.0898876404494382,44
/adult-learner/course-detail/NYP-CL0901/tcm-life-skills-in-sub-health-management-of-common-conditions,80,21,80,10,83,84,0.9880952380952381,48.376137273809526,0.047619047619047616,23,80,21,80,10,83,84,0.9880952380952381,48.376137273809526,0.047619047619047616,23
/adult-learner/course-detail/NYP-DXEP06/work-study-post-diploma-specialist-dip-in-digital-content-creation-for-e-commerce,79,7,78,23,103,96,1.0729166666666667,72.89506903125,0.17708333333333334,39,79,7,78,23,103,96,1.0729166666666667,72.89506903125,0.17708333333333334,39
/adult-learner/course-detail/NYP-DXSP05/specialist-diploma-in-digital-media-production,79,15,79,18,87,89,0.9775280898876404,55.73373071910112,0.11235955056179775,26,79,15,79,18,87,89,0.9775280898876404,55.73373071910112,0.11235955056179775,26
/adult-learner/course-types/short-courses/culinary,79,54,79,8,107,88,1.2159090909090908,64.76030851136365,0.18181818181818182,34,79,54,79,8,107,88,1.2159090909090908,64.76030851136365,0.18181818181818182,34
/adult-learner/course-detail/NYP-ASSPA3/post-diploma-certificate-in-energy-management-for-process-industry-part-of-specialist-diploma-in-energy-and-environmental-management-for-process-industry,78,18,78,17,93,86,1.0813953488372092,60.36376589534884,0.046511627906976744,25,78,18,78,17,93,86,1.0813953488372092,60.36376589534884,0.046511627906976744,25
/adult-learner/course-detail/NYP-CLLP01/work-study-certificate-leading-to-diploma-in-applied-science-food-technology,78,15,78,19,101,89,1.1348314606741574,77.67859188764045,0.0449438202247191,39,78,15,78,19,101,89,1.1348314606741574,77.67859188764045,0.0449438202247191,39
/adult-learner/course-detail/NYP-CX1107/aerial-drone-photography,78,41,78,7,87,81,1.0740740740740742,57.267232654320985,0.13580246913580246,37,78,41,78,7,87,81,1.0740740740740742,57.267232654320985,0.13580246913580246,37
/adult-learner/course-detail/NYP-DXSP04/specialist-diploma-in-augmented-reality-and-virtual-reality,78,27,77,17,86,93,0.9247311827956989,89.71279647311827,0.13978494623655913,36,78,27,77,17,86,93,0.9247311827956989,89.71279647311827,0.13978494623655913,36
/adult-learner/course-detail/NYP-CB0556/sc111-hands-on-tradenet-declaration,77,22,77,20,98,88,1.1136363636363635,108.05532818181818,0.11363636363636363,39,77,22,77,20,98,88,1.1136363636363635,108.05532818181818,0.11363636363636363,39
/adult-learner/course-detail/NYP-CLBP01/work-study-post-diploma-advanced-diploma-in-pharmaceutical-sciences,77,25,77,14,84,82,1.024390243902439,47.14341769512195,0.17073170731707318,48,77,25,77,14,84,82,1.024390243902439,47.14341769512195,0.17073170731707318,48
/adult-learner/course-detail/NYP-CE245005/ai-practitioner-preparatory-course,74,8,74,12,76,76,1,27.471030250000002,0.05263157894736842,19,74,8,74,12,76,76,1,27.471030250000002,0.05263157894736842,19
/adult-learner/course-detail/NYP-HSAF49/advanced-diploma-in-nursing-paediatrics-adpd1,74,24,73,13,89,84,1.0595238095238095,50.7097915,0.14285714285714285,44,74,24,73,13,89,84,1.0595238095238095,50.7097915,0.14285714285714285,44
